country,wonder,lat,long
India,Taj Mahal,27.1750151,78.042155
China,Great Wall of China,40.4319077,116.5703749
Peru,Machu Picchu,-13.1631412,-72.5449629
Jordan,Petra,30.3284544,35.4443622
Mexico,Chichen Itza,20.6842849,-88.5677826
Italy,Colosseum,41.8902102,12.4922309
Greece,Colossus of Rhodes,36.4517223,28.225215
Greece,Olympia,21.6298796,37.6384588
Turkey,Temple of Artemis,37.9497392,27.3640305
Turkey,Mausoleum at Halicarnassus,37.038132,27.4243849
Egypt,Great Pyramid of Giza,29.9792345,31.1342019
Brazil,Christ the Redeemer,-22.951916,-43.2104872
China,Fobidden City,39.9163447,116.3971546